,word,adj_ricci_avg,frequency
0,awed,0.4999999997258184,226844.0
1,china,0.24999999997234199,124472054.0
2,unprepossessing,0.9999999999267714,16233.0
3,introversion,0.6666666664807078,64498.0
4,geminate,-0.3972049690333272,18583.0
5,scoff,0.21102971042622623,177728.0
6,gatecrasher,0.9999999999267714,124681.0
7,carefully,0.33333333331549275,16675728.0
8,riot,-0.2529914530441043,2665813.0
9,snow,-0.021428571962716775,35358852.0
10,respect,-0.3876095516784108,48329678.0
11,buttercup,0.9999999999267714,455990.0
12,annihilate,0.32371794839026974,205665.0
13,columbarium,0.4999999997258184,37126.0
14,scaled,-0.18181818205554243,2786253.0
15,element,0.09196428542543306,36306394.0
16,offence,-0.0333333334903098,4775626.0
17,strain,-0.4659382696173556,9151339.0
18,whorled,0.3874999993148905,38082.0
19,corrupt,-0.23730283688315115,3788784.0
20,speeding,-0.05425534628553706,1964427.0
21,lulu,0.21666666566132345,2162895.0
22,matte,-0.334935897853042,2909215.0
23,purification,-0.2656250001078637,3769668.0
24,syntagma,0.9999999999267714,45159.0
25,spineless,0.3333333333055044,163477.0
26,proximity,0.49999999996158,4327868.0
27,accident,-0.38139063874536316,18699760.0
28,stretched,-0.21626250939613462,3358892.0
29,barbaric,0.2808641971282703,416962.0
30,quadruple,-0.2298999310437582,564461.0
31,foreground,0.374999999493719,1541989.0
32,controversy,0.20967261869929,5161175.0
33,sage,0.49999999996158,7739556.0
34,construct,-0.32731481510640315,8471574.0
35,alimentation,0.18178571379091898,233452.0
36,arid,-0.17500000001745467,1860825.0
37,nosepiece,0.33333333330550463,31033.0
38,dragger,0.41666666661392626,39362.0
39,vandalism,0.9999999999267714,1265676.0
40,goat,-0.10571428580356704,5231735.0
41,shift,-0.4626694927747595,19811555.0
42,loos,0.24999999997633596,287375.0
43,fart,0.666666666480709,1023292.0
44,fervid,0.4791666657763033,29297.0
45,reservation,-0.1931818185266423,21150948.0
46,valour,0.6249999997482271,252201.0
47,progression,0.3333333311616241,4501732.0
48,mason,0.3333333333055044,9461838.0
49,battleship,-1.6895818077955482e-11,733158.0
50,knowledge,-0.5491836349600361,89749339.0
51,setoff,0.058823529401160764,82690.0
52,grandiose,0.7499999999319465,299435.0
53,brownie,0.6249999997482282,968396.0
54,actualize,0.4553571423309714,73623.0
55,unrelated,0.0999999999883211,2923407.0
56,obstructed,0.08571883135606809,410812.0
57,tempting,-0.21158315657643492,1253805.0
58,sticky,-0.2510416668751813,5698936.0
59,unrighteous,0.029411764638920805,91363.0
60,cooked,-0.15074722725568462,5367778.0
61,experimental,0.9999999999267714,19364822.0
62,pointless,0.24999999997619135,1869860.0
63,shut,-0.24107142862881753,11689186.0
64,bounteous,0.07424811981614701,38495.0
65,patterned,-0.04854651181974756,1124478.0
66,cart,-4.8167803079479654e-11,152155277.0
67,risen,-0.29698491817395484,2619862.0
68,enlarge,0.1808682055985609,32120976.0
69,blandness,0.016666666568736,41601.0
70,exhaust,-0.2880318741813982,7853076.0
71,offensive,-0.41489446567210153,9781246.0
72,procedure,-0.21493055600552582,36129804.0
73,invalidating,-0.13150335130555163,130967.0
74,broiling,0.14999999979161865,86421.0
75,extinguish,0.17067307687842825,384710.0
76,decipherable,0.249999999966397,18249.0
77,prodigy,0.19523809494452202,1480016.0
78,disaffected,-0.21760515389743001,216881.0
79,caption,0.09999999997575873,4588270.0
80,pouch,-0.11340048880793696,4023912.0
81,wheedle,0.4642857132575271,18566.0
82,losses,-0.08269657832338673,14973062.0
83,bubbly,0.09880050501023628,498054.0
84,adapter,0.16666666659534576,22290799.0
85,ostentation,-0.4203938066321757,73215.0
86,rime,-0.1904761905783996,218262.0
87,hardship,-9.347236318291152e-10,1782871.0
88,program,-0.17460317471640718,306686983.0
89,uncovered,0.12386964824589179,2200137.0
90,dependence,0.6249999997482265,5780801.0
91,convention,-0.28134920641783606,27972282.0
92,conformable,-0.2611111114772505,81308.0
93,bereaved,0.14555555513913154,371326.0
